Bulk,Shear,Density,CohesionPeak,FrictionPeak,TensionPeak,CohesionResidual,FrictionResidual,eps,Kn_contact,Ks_contact,CohesionPeak_contact,FrictionPeak_contact,TensionPeak_contact,FrictionResidual_contact,PeakUCS,YoungsModulus
59340000000,40170000000,2237.2,52290000,50.87,19390000,38480000,29.55,0.042,209800000000000,104900000000000,98220000,24.47,15970000,13.9,216758200,89187371132.9599
43890000000,25790000000,2993.1,85540000,49.38,27680000,53140000,26.94,0.029,171400000000000,85720000000000,75570000,32.02,6108000,17.58,183040600,61492149498.8041
77540000000,16470000000,2519.7,75680000,55.5,49730000,55800000,34.31,0.021,189200000000000,94620000000000,47450000,31.87,22670000,16.97,122793500,50322041657.2236
47130000000,26140000000,2059.1,64240000,51.77,38710000,50090000,30.57,0.033,130800000000000,65390000000000,67200000,34.63,15320000,19.34,182357500,60542566310.4329
48880000000,12430000000,4425.3,213800000,55.38,33800000,140900000,29.05,0.034,177800000000000,88900000000000,50270000,29.95,8959000,16.88,120041500,37557968157.4105
62730000000,36360000000,2066.8,121900000,41.67,33860000,80500000,27.52,0.032,184000000000000,92000000000000,47780000,34.44,10050000,20.44,129850100,82923493123.0581
53680000000,24210000000,2604.2,83530000,47.54,42900000,59180000,23.95,0.026,141100000000000,70570000000000,53160000,30.81,18740000,19.98,140537100,60093729465.8079
63230000000,22160000000,4030.4,133100000,53.37,52100000,90700000,27.13,0.043,161600000000000,80780000000000,27750000,33.31,12700000,21.59,77265960,59638733894.0287
42180000000,18400000000,2478.3,107100000,54.41,30520000,79220000,30.71,0.027,226400000000000,113200000000000,48040000,32.27,9564000,16.92,118213300,49460807851.9249
43680000000,36770000000,2940,162400000,47.86,21720000,123800000,31.66,0.029,198200000000000,99110000000000,39880000,33.11,16720000,21.04,107264500,77776129961.684
33860000000,45440000000,2100.1,130300000,52.3,34710000,92000000,31.31,0.053,113900000000000,56940000000000,37960000,27.87,14440000,14.72,95895630,74984524772.6813
56510000000,19280000000,1821.5,110300000,46.92,36630000,83270000,31.49,0.039,173000000000000,86510000000000,42570000,32.09,8159000,22.35,108142500,53836888192.5703
33230000000,30260000000,2111.3,134900000,44.42,23720000,100100000,23.33,0.051,90140000000000,45070000000000,33950000,31.46,8439000,20,89592080,56630570983.8747
70990000000,49400000000,2383.7,90260000,50.94,26890000,54680000,29.69,0.037,151100000000000,75540000000000,31890000,29.58,14870000,15.08,80291580,97790031014.8641
29370000000,27700000000,3844.9,87530000,46.27,28440000,54620000,26.17,0.035,202900000000000,101500000000000,56970000,35.35,11700000,21.71,153194700,58119836004.3029
46010000000,26480000000,2568.4,90550000,41.05,29840000,67550000,21.15,0.062,123800000000000,61920000000000,53730000,28.41,19040000,15.67,132603600,60127503289.954
51750000000,30980000000,2648.6,100300000,42.17,26830000,73960000,22.89,0.03,182200000000000,91110000000000,49600000,34.97,17580000,24.47,136056400,72130870766.6684
57040000000,21760000000,3012.1,77510000,49.59,19250000,57860000,29.41,0.03,170200000000000,85090000000000,58900000,27.15,22830000,14.11,137781200,57965182198.1577
61090000000,23330000000,3555.9,97920000,44.72,21690000,68680000,30.01,0.028,113000000000000,56500000000000,68070000,32.59,29800000,17.62,183786400,58283441965.2061
49640000000,33600000000,5306.6,157100000,43.52,27720000,123700000,24.38,0.038,162100000000000,81070000000000,31340000,29.22,14130000,16.85,81910750,73867322084.3798
42510000000,32530000000,2710.6,120800000,45.57,44600000,81350000,26.97,0.037,148100000000000,74050000000000,45050000,32.96,18410000,17.48,120278200,69090079846.3788
44120000000,27940000000,1674.4,67210000,56.96,35400000,51680000,31.93,0.05,141400000000000,70700000000000,41400000,27.57,9885000,17.09,99114480,62343826467.0027
47590000000,28990000000,1561.4,102800000,52.77,22520000,69050000,27.78,0.047,108100000000000,54050000000000,46030000,33.08,15210000,20.8,122972700,62424108296.2747
96280000000,31890000000,2159,144800000,48.08,25580000,100300000,24.44,0.041,153600000000000,76810000000000,52070000,31.31,18330000,20.73,138479500,81756034783.0193
40030000000,29430000000,2799.9,111500000,48.97,20360000,67860000,30.47,0.025,207900000000000,104000000000000,50810000,25.21,21040000,15.75,111958700,66602183718.1249
69730000000,25440000000,1849.9,60740000,37.46,18620000,47460000,22.99,0.043,146700000000000,73340000000000,49920000,27.74,11640000,15.38,119583300,65973542117.8226
27180000000,43420000000,3218.7,167600000,43.64,15160000,131400000,29.25,0.068,191300000000000,95640000000000,52710000,28.9,19970000,16.57,132682000,74862627135.4698
64920000000,34880000000,2356.1,144400000,54.8,32050000,90450000,33.87,0.077,95480000000000,47740000000000,44450000,29.45,15800000,17.27,110833700,72813533778.7701
49540000000,26310000000,2015.7,80100000,46.01,31710000,62620000,28.42,0.041,122600000000000,61280000000000,51030000,32.38,12990000,18.44,135454200,60748479552.0866
46400000000,28880000000,2328.2,175300000,45.84,41330000,108800000,23.04,0.05,120100000000000,60040000000000,37120000,32.16,18060000,21.84,101177500,63366725520.3571
21120000000,39580000000,3105.2,87660000,52.7,32190000,57550000,34.48,0.037,136900000000000,68430000000000,57680000,30.54,12520000,17.96,151362100,63105006265.3898
52420000000,17390000000,2548.2,124400000,46.79,46700000,97310000,28.83,0.045,120900000000000,60460000000000,59120000,26.94,12410000,17.38,136800700,46602347907.2556
34770000000,22750000000,1922.4,68350000,44.63,39990000,42850000,30.72,0.051,131700000000000,65840000000000,39240000,35.73,15410000,22.97,108453000,51499819787.9909
54520000000,29240000000,3071.4,113200000,50.47,24900000,75130000,32.49,0.046,166400000000000,83190000000000,43590000,26.4,23690000,17.27,101237100,69667336354.5559
41730000000,34430000000,2723,103700000,49.68,18970000,68220000,32.78,0.037,138100000000000,69030000000000,60390000,32.82,13860000,20.36,160981400,69989715091.5166
91250000000,22420000000,1875,153900000,62.05,46430000,100300000,34.74,0.034,156600000000000,78290000000000,42180000,28.84,10780000,16.97,103840100,63036948388.1074
50660000000,34130000000,2691.6,52500000,48.25,52650000,35810000,30.97,0.043,109600000000000,54790000000000,49260000,30.31,16290000,16.51,127055000,69679130135.856
73960000000,32810000000,2369.5,64820000,44.15,16460000,42630000,24.22,0.057,115400000000000,57700000000000,63750000,30.39,12190000,18.26,165958100,75272158109.7357
31820000000,25890000000,4973.3,104200000,39.88,10870000,76890000,26.28,0.024,283900000000000,141900000000000,79230000,28.66,9858000,19.4,182558900,59065781556.319
40810000000,22600000000,2756.3,69760000,48.6,30110000,49000000,29.83,0.049,235200000000000,117600000000000,73390000,31.67,10370000,17.22,178091800,56578119216.5759
41280000000,31720000000,2889.8,73030000,49.79,18000000,45020000,31.67,0.038,175700000000000,87870000000000,32630000,27.49,15910000,14.54,78615080,68201657651.4681
68910000000,27280000000,2027.7,68970000,54.67,37300000,42870000,34.72,0.054,179800000000000,89890000000000,58080000,25.73,8855000,14.73,124522300,71218361000.0034
33930000000,29880000000,2151,46330000,49.05,37670000,35290000,30.87,0.044,97880000000000,48940000000000,45620000,28.98,11860000,18.3,117913200,57802984919.5089
53100000000,29730000000,1973.3,71390000,47.91,40100000,49890000,29.46,0.033,105200000000000,52620000000000,64330000,27.09,14510000,17.49,155447600,64913071325.3049
42780000000,15180000000,2667.9,98940000,51.89,34280000,68240000,35.35,0.023,142400000000000,71200000000000,44770000,29.91,20160000,15.64,107485000,41770330558.5997
